"ID_GUID";"Nome_Modelo";"Fabricante";"Potencia_Nominal_W";"Tensao_Bateria_V";"Capacidade_Bateria_Ah";"Tensao_AC_V";"Descricao_Detalhada"
"8e77ea82-b069-471a-8e9c-1a42f97a8288";"HiRY8KT-A0";"N/A";;;;;"12kW"
"6aa415b0-12e2-43ec-af41-2f9f8e2c2b24";"KAC50DP";"N/A";;;;;"50 kW PCS/Hybrid Inverter"
"9a30da94-5302-4cbb-ad0d-63ce399dfccb";"LC-E2-10K series";"N/A";;;;;""
"195c8767-3a7c-475d-8a73-9466444e9781";"LC-E2-12K series";"N/A";;;;;""
"90462df3-249f-4dde-adf0-7424fe3b3431";"LC-E2-8K series";"N/A";;;;;""
"1a12fa6c-8adb-4e10-a7d4-b012bc705c5a";"Mars 10000 HVT";"N/A";;;;;"This series is especially suitable for application scene of high power, limited installation space, restricted load-bearing and long cycle life."
"773a548c-5e17-44bf-b72b-db259eed71a0";"Mars 6000 HVS";"N/A";;;;;"This series is especially suitable for application scene of high power, limited installation space, restricted load-bearing and long cycle life."
"992b3b43-30a9-41a3-9225-ce4143510eff";"MAX.STORAGE 10";"N/A";;;;;"All-in-One-System/Modularer Aufbau/Variable Lade-Entladeströme von 2-8kW/Variable Speicherkapazität von 2-16kWh"
"2ed98771-ce7f-4a08-a775-a0505e4aca7e";"MAX.STORAGE 12";"N/A";;;;;"All-in-One-System/Modularer Aufbau/Variable Lade-Entladeströme von 2-8kW/Variable Speicherkapazität von 2-16kWh"
"3e86ec94-09e5-4a2c-8bfa-6eb4f23721a3";"MAX.STORAGE 15";"N/A";;;;;"All-in-One-System/Modularer Aufbau/Variable Lade-Entladeströme von 2-8kW/Variable Speicherkapazität von 2-16kWh"
"b9629d98-f9e9-412b-a351-5cebd5d6830c";"MAX.STORAGE 6";"N/A";;;;;"All-in-One-System/Modularer Aufbau/Variable Lade-Entladeströme von 2-8kW/Variable Speicherkapazität von 2-16kWh"
"6f12cf57-8647-4551-99fc-13e7862ebe85";"MAX.STORAGE 8";"N/A";;;;;"All-in-One-System/Modularer Aufbau/Variable Lade-Entladeströme von 2-8kW/Variable Speicherkapazität von 2-16kWh"
"d64dba84-2f9f-42ca-b4a8-0d7280ba688c";"MAX.STORAGE ULTIMATE 10";"N/A";;;;;"All-in-One-System/Modularer Aufbau/Variable Lade-Entladeströme von 2-10KW/Variable Speicherkapazität von 3-15kWh"
"fb42b27a-6171-4d4e-ae73-39bf401a6f8b";"ME 10KTL-3PH";"N/A";;;;;"10KW AC Coupled energy storage inverter"
"e15754cb-83f0-42e1-96a7-20c2bb73885a";"ME 15KTL-3PH";"N/A";;;;;"15KW AC Coupled energy storage inverter"
"f5fc7550-ec02-4e34-bc7b-33dc10475ec9";"ME 20KTL-3PH";"N/A";;;;;"20KW AC Coupled energy storage inverter"
"958606b1-1282-4300-9fd3-78f00968b800";"ME 5KTL-3PH";"N/A";;;;;"5KW AC Coupled energy storage inverter"
"32946852-13c9-4622-9f27-f0ff5f236c69";"ME 6KTL-3PH";"N/A";;;;;"6KW AC Coupled energy storage inverter"
"c6ccb408-73cc-4d75-b1b3-ddd2ad191a88";"ME 8KTL-3PH";"N/A";;;;;"8KW AC Coupled energy storage inverter"
"0f4b20a4-c925-4d26-9b48-75bfaa9de611";"ME3000SP";"N/A";;;;;"3KW AC Coupled energy storage inverter"
"bedc06bf-89d7-4354-96d1-16e9455a6356";"next3 nx3-16000-48-STI";"N/A";;;;;""
"d876a22c-d23d-41bc-9455-4aa705c60006";"NORD EcoMaster 3P 10.0";"N/A";;;;;"3-phases asymmetric inverter"
"5ba2dbd5-a182-4bd7-90a6-0b88b01e4152";"NORD EcoMaster 3P 12.0";"N/A";;;;;"3-phases asymmetric inverter"
"f79ac1c2-6696-4aad-aa73-ad8d26cf3c86";"NORD EcoMaster 3P 15.0";"N/A";;;;;"3-phases asymmetric inverter"
"4ce64f78-f52a-4c36-bfd2-7f25a580994b";"NORD EcoMaster 3P 5.0";"N/A";;;;;"3-phases asymmetric inverter"
"274a68b6-714c-479e-a5e9-2b0de5cf828e";"NORD EcoMaster 3P 6.0";"N/A";;;;;"3-phases asymmetric inverter"
"7b151b97-460e-4ede-9af4-0631d2748823";"NORD EcoMaster 3P 8.0";"N/A";;;;;"3-phases asymmetric inverter"
"11f625f6-acd8-4f5b-bf1a-359b44c21150";"PBI 50K";"N/A";;;;;"Pramac Battery Inverter 50kW Power with Pre-Charge 422P050"
"e89a6989-23d6-45eb-ae6a-385efafc75f4";"PBI 50K-PC";"N/A";;;;;"Pramac Battery Inverter 50kW Power with Pre-Charge"
"b9957ca6-4cbd-49d0-86e8-c96fe3a2cd3e";"PBI 90K";"N/A";;;;;"Pramac Battery Inverter 90kW Power with Pre-Charge 422P090"
"6a74bbee-f5d5-43cd-9654-0510857715dc";"PixiiBox 48/3300";"N/A";;;;;""
"2dafd466-91a7-422e-bd48-b461faa46df5";"PowerRack 10kW with 3xPixiiBox 48/3300";"N/A";;;;;""
"d3e36f9e-4815-4f5c-9c27-7109575299d4";"RPOWER® PV-HYWR-10KW-3P-02-WIFI (Hybrid) 10-Jahre-Garantie";"N/A";;;;;"RPOWER® 10kW Hybrid-Wechselrichter 3Phasig mit Back-Up Ausgang bei Netzausfall und Inselbetriebsfähigkeit und 2 MPPT,                                      www.rp-group.com/photovoltaik"
"7048e759-c532-49f7-9d4a-2253e641ea54";"RPOWER® PV-HYWR-12KW-3P-02-WIFI (Hybrid) 10-Jahre-Garantie";"N/A";;;;;"RPOWER® 12kW Hybrid-Wechselrichter 3Phasig mit Back-Up Ausgang bei Netzausfall und Inselbetriebsfähigkeit und 2 MPPT,                                      www.rp-group.com/photovoltaik"
"b0025cc3-a232-43d3-b6b3-769d605f1606";"RPOWER® PV-HYWR-4KW-3P-02-WIFI (Hybrid) 10-Jahre-Garantie";"N/A";;;;;"RPOWER® 4kW Hybrid-Wechselrichter 3Phasig mit Back-Up Ausgang bei Netzausfall und Inselbetriebsfähigkeit und 2 MPPT,                                      www.rp-group.com/photovoltaik"
"05b9f9d1-b925-4d3d-9970-b42d6e9e4fd3";"RPOWER® PV-HYWR-6KW-3P-02-WIFI (Hybrid) 10-Jahre-Garantie";"N/A";;;;;"RPOWER® 6kW Hybrid-Wechselrichter 3Phasig mit Back-Up Ausgang bei Netzausfall und Inselbetriebsfähigkeit und 2 MPPT,                                      www.rp-group.com/photovoltaik"
"a8d313b0-cc35-4b38-8df6-5d0a0183d56a";"RPOWER® PV-HYWR-8KW-3P-02-WIFI (Hybrid) 10-Jahre-Garantie";"N/A";;;;;"RPOWER® 8kW Hybrid-Wechselrichter 3Phasig mit Back-Up Ausgang bei Netzausfall und Inselbetriebsfähigkeit und 2 MPPT,                                      www.rp-group.com/photovoltaik"
"8873cc2e-9568-4b6b-b19a-17257e8cd97c";"SPF 3500ES";"N/A";;;;;"Off-grid inverter， MPPT charger integrated"
"b5397439-20b4-4a57-8e8a-0dbe8b4d53ac";"SPF 5000ES";"N/A";;;;;"Off-grid inverter， MPPT charger integrated"
"8452e53c-8014-48c5-9d7c-b1908266b114";"SUN-10K-SG01HP3-EU-AM2";"N/A";;;;;"SUN-10K-SG01HP3-EU-AM2 HV Hybrid inverter"
"f91259d9-3d0e-4c58-972c-d4dcfe361563";"SUN-10K-SG01LP3";"N/A";;;;;"Sunsynk 10KW Hybrid Inverter Three Phase"
"9f88e5e1-c9a6-4c8c-8278-48f1a1302ea8";"SUN-12K-SG01HP3-EU-AM2";"N/A";;;;;"SUN-12K-SG01HP3-EU-AM2 HV Hybrid inverter"
