Brand,Model,Power,Voc,Isc,Vmp,Imp
N/A,11x5M - 260Wp,260,"36,64","9,07","29,71","8,75"
N/A,11x5M - 275Wp M3,275,"37,83","9,07","31,33","8,75"
N/A,11x5M FJB - 260Wp,260,"36,64","9,07","29,71","8,75"
N/A,11x6M - 330Wp ,330,"45,19","9,48","37,29","8,95"
N/A,11x6M - 330Wp M3,330,"45,39","9,28","37,6","8,86"
N/A,11x6M FJB - 310Wp,310,"43,97","9,07","35,43","8,75"
N/A,120M(166) 380W,380,"41,3","11,69","34,8","10,92"
N/A,12x1M - 55Wp,55,"7,99","9,07","6,29","8,75"
N/A,12x1M - 60Wp M3,60,"8,25","9,07","6,83","8,75"
N/A,12x1M FJB - 55Wp,55,"7,99","9,07","6,29","8,75"
N/A,12x2M - 115Wp,115,"15,99","9,07","13,14","8,75"
N/A,12x2M - 120Wp M3,120,"16,5","9,28","13,67","8,86"
N/A,12x2M FJB - 115Wp,115,"15,99","9,07","13,14","8,75"
N/A,12x2P - 102Wp,102,"15,23","8,69","12,46","8,19"
N/A,12x2P FJB - 102Wp,102,"15,23","8,69","12,46","8,19"
N/A,12x3M - 170Wp,170,"23,98","9,07","19,43","8,75"
N/A,12x3M FJB - 170Wp,170,"23,98","9,07","19,43","8,75"
N/A,12x4M - 225Wp,225,"31,98","9,07","25,71","8,75"
N/A,12x4M FJB - 225Wp,225,"31,98","9,07","25,71","8,75"
N/A,12x5M - 285Wp,285,"39,97","9,07","32,57","8,75"
N/A,12x5M FJB - 285Wp,285,"39,97","9,07","32,57","8,75"
N/A,12x6M - 340Wp,340,"47,96","9,07","39,43","8,75"
N/A,12x6M FJB - 340Wp,340,"47,96","9,07","39,43","8,75"
N/A,12x6P - 305Wp,305,"45,69","8,69","37,38","8,19"
N/A,12x6P FJB - 305Wp,305,"45,69","8,69","37,38","8,19"
N/A,132-210 QNHT-1 700W（N type qrystal Mono-Crystalline）,700,"48,13","18,41","40,44","17,31"
N/A,135w poly,135,"22,3","8,2","17,5","7,7"
N/A,144-183.75 QNHT-6 575W（N type qrystal Mono-Crystalline）,575,"51,47","14,14","43,43","13,24"
N/A,144-183.75 QNHT-6 580W（N type qrystal Mono-Crystalline）,580,"51,7","14,2","43,64","13,29"
N/A,144-183.75 QNHT-6 585W（N type qrystal Mono-Crystalline）,585,"51,93","14,26","43,85","13,34"
N/A,144M(166) 455W,455,"50,4","11,48","41,5","10,97"
N/A,145 Wp - CIS,145,"107,8","1,81","87,4","1,66"
N/A,155-M,155,"44,2","5,35","34,6","4,5"
