Brand,Model,Power,Voc,Isc,Vmp,Imp
N/A,CRM240S 156P-60  P (alt),240,"37,5","8,4","30,3","7,91"
N/A,CS 180 M,180,"44,2","5,35","36,5","4,93"
N/A,CS 180 P,180,"29,4","8,1","24,1","7,47"
N/A,CS 185 M,185,"44,4","5,47","36,6","5,05"
N/A,CS 190 M,190,"44,7","5,58","36,8","5,16"
N/A,CS 200 P,200,33,"8,02","27,1","7,38"
N/A,CS 225 P,225,"36,8","8,1","30,1","7,48"
N/A,CS 230  P,230,37,"8,2","30,3","7,6"
N/A,CS 235  P,235,"37,1","8,24","30,3","7,76"
N/A,CS 240  P,240,"37,3","8,46","30,5","7,87"
N/A,CS1H-325MS,325,"43,4","9,58","35,8","9,09"
N/A,CS1H-330MS,330,"43,5","9,65",36,"9,18"
N/A,CS1H-335MS,335,"43,6","9,73","36,2","9,27"
N/A,CS1U-410MS,410,"53,6","9,7","44,5","9,23"
N/A,CS3K-275P ,275,"37,7","9,38",31,"8,88"
N/A,CS3K-275P 1500V ,275,"37,7","9,38",31,"8,88"
N/A,CS3K-280P ,280,"37,9","9,47","31,2","8,98"
N/A,CS3K-280P 1500V ,280,"37,9","9,47","31,2","8,98"
N/A,CS3K-285P ,285,"38,1","9,56","31,4","9,08"
N/A,CS3K-285P 1500V,285,"38,1","9,56","31,4","9,08"
N/A,CS3K-290P,290,"38,9","9,49","32,3","8,98"
N/A,CS3K-295P,295,"39,1","9,57","32,5","9,08"
N/A,CS3K-300MS ,300,"39,3","9,82","32,5","9,24"
N/A,CS3K-300P,300,"39,3","9,65","32,7","9,18"
N/A,CS3K-305MS 1500V,305,"39,5","9,9","32,7","9,33"
N/A,CS3K-305P HE,305,"39,5","9,73","32,9","9,28"
N/A,CS3K-310MS,310,"39,7","9,98","32,9","9,42"
N/A,CS3K-310MS ,310,"39,7","9,98","32,9","9,43"
N/A,CS3K-315MS,315,"39,9","10,06","33,1","9,52"
N/A,CS3K-320MS,320,"40,1","10,14","33,3","9,61"
N/A,CS3K-325MS,325,"40,3","10,22","33,5","9,71"
N/A,CS3K-330MB-FG,330,"40,5","10,3","33,7","9,8"
N/A,CS3L-325P,325,39,"10,74",32,"10,14"
N/A,CS3L-330P,330,"39,2","10,82","32,2","10,24"
N/A,CS3L-335P,335,"39,4","10,9","32,4","10,34"
N/A,CS3L-340P,340,"39,6","10,98","32,6","10,43"
N/A,CS3L-345P,345,"39,8","11,06","32,8","10,52"
N/A,CS3L-345P_1500V,345,"39,8","11,06","32,8","10,52"
N/A,CS3L-350MS,350,"39,6","11,33","32,7","10,71"
N/A,CS3L-355MS,355,"40,2","11,33","33,5","10,61"
N/A,CS3L-355MS_1500V,355,"40,2","11,33","33,5","10,61"
N/A,CS3L-360MS,360,"40,4","11,4","33,7","10,69"
N/A,CS3L-360MS_1500V,360,"40,4","11,4","33,7","10,69"
N/A,CS3L-360P HE,360,"40,6","11,37","33,4","10,78"
N/A,CS3L-365MS,365,"40,6","11,47","33,9","10,78"
N/A,CS3L-365MS-1500V,365,"40,6","11,47","33,9","10,78"
N/A,CS3L-365MS 1000V,365,"40,6","11,47","33,9","10,78"
N/A,CS3L-365MS 1500V,365,"40,6","11,47","33,9","10,78"
N/A,CS3L-365MS 1500V,365,"40,6","11,47","33,9","10,78"
N/A,CS3L-370MS,370,"40,8","11,54","34,1","10,86"
N/A,CS3L-370MS 1000V,370,"40,8","11,54","34,1","10,86"
N/A,CS3L-370MS 1500V,370,"40,8","11,54","34,1","10,86"
N/A,CS3L-370MS 1500V,370,"40,8","11,54","34,1","10,86"
N/A,CS3L-375MS,375,41,"11,61","34,3","10,94"
N/A,CS3L-375MS 1000V,375,41,"11,61","34,3","10,94"
N/A,CS3L-375MS 1500V,375,41,"11,61","34,3","10,94"
N/A,CS3L-375MS_1500V,375,41,"11,61","34,3","10,94"
N/A,CS3L-380MS,380,"41,2","11,68","34,5","11,02"
N/A,CS3L-380MS 1000V,380,"41,2","11,68","34,5","11,02"
N/A,CS3L-380MS 1500V,380,"41,2","11,68","34,5","11,02"
N/A,CS3L-380MS_1500V,380,"41,2","11,68","34,5","11,02"
N/A,CS3L-385MS 1000V,385,"41,4","11,75","34,7","11,1"
N/A,CS3L-385MS 1500V,385,"41,4","11,75","34,7","11,1"
N/A,CS3N-400MS 1000V,400,"44,5","11,5","37,2","10,76"
N/A,CS3N-400MS 1500V,400,"44,5","11,5","37,2","10,76"
N/A,CS3N-405MS,405,"44,7","11,56","37,4","10,83"
N/A,CS3N-405MS 1000V,405,"44,7","11,56","37,4","10,83"
N/A,CS3N-405MS 1500V,405,"44,7","11,56","37,4","10,83"
N/A,CS3N-405MS_1500V,405,"44,7","11,56","37,4","10,83"
N/A,CS3N-410MS,410,"44,9","11,62","37,6","10,92"
N/A,CS3N-410MS 1000V,410,"44,9","11,62","37,6","10,92"
N/A,CS3N-410MS 1500V,410,"44,9","11,62","37,6","10,92"
N/A,CS3N-410MS_1500V,410,"44,9","11,62","37,6","10,92"
N/A,CS3N-415MS,415,"45,1","11,68","37,8","10,98"
N/A,CS3N-415MS 1000V,415,"45,1","11,68","37,8","10,98"
N/A,CS3N-415MS 1500V,415,"45,1","11,68","37,8","10,98"
N/A,CS3N-415MS_1500V,415,"45,1","11,68","37,8","10,98"
N/A,CS3N-420MS,420,"45,3","11,74",38,"11,06"
N/A,CS3N-420MS 1000V,420,"45,3","11,74",38,"11,06"
N/A,CS3N-420MS 1500V,420,"45,3","11,74",38,"11,06"
N/A,CS3N-420MS_1500V,420,"45,3","11,74",38,"11,06"
N/A,CS3N-425MS 1000V,425,"45,5","11,8","38,2","11,13"
N/A,CS3N-425MS 1500V,425,"45,5","11,8","38,2","11,13"
N/A,CS3U-325P ,325,"45,3","9,12","37,8","8,6"
N/A,CS3U-325P-FG,325,"45,3","9,12","37,8","8,6"
N/A,CS3U-325P 1500V,325,"45,3","9,12","37,8","8,6"
N/A,CS3U-330P ,330,"45,5","9,2",38,"8,69"
N/A,CS3U-330P-FG,330,"45,5","9,2",38,"8,69"
N/A,CS3U-330P 1500V,330,"45,5","9,2",38,"8,69"
N/A,CS3U-335P ,335,"45,7","9,28","38,2","8,77"
N/A,CS3U-335P-FG,335,"45,7","9,28","38,2","8,77"
N/A,CS3U-335P 1500V,335,"45,7","9,28","38,2","8,77"
N/A,CS3U-340P ,340,"45,9","9,36","38,4","8,86"
N/A,CS3U-340P-FG,340,"45,9","9,36","38,4","8,86"
N/A,CS3U-340P 1500V ,340,"45,9","9,36","38,4","8,86"
N/A,CS3U-345P,345,"46,1","9,44","38,6","8,94"
N/A,CS3U-350P,350,"46,6","9,51","39,2","8,94"
N/A,CS3U-355P,355,"46,8","9,59","39,4","9,02"
N/A,CS3U-360MS ,360,47,"9,69","39,2","9,19"
N/A,CS3U-360MS 1500V,360,47,"9,69","39,2","9,19"
N/A,CS3U-360P,360,47,"9,67","39,6","9,1"
N/A,CS3U-365MS ,365,"47,2","9,77","39,4","9,27"
N/A,CS3U-365P,365,"47,2","9,75","39,8","9,18"
N/A,CS3U-365P 1500V,365,"47,2","9,75","39,8","9,18"
N/A,CS3U-370MS 1500V,370,"47,4","9,85","39,6","9,35"
N/A,CS3U-375MS,375,"47,6","9,93","39,8","9,43"
N/A,CS3U-375MS ,375,"47,6","9,93","39,8","9,43"
N/A,CS3U-380MS,380,"47,8","10,01",40,"9,5"
N/A,CS3U-385MS,385,48,"10,09","40,2","9,58"
N/A,CS3W-395P,395,47,"10,82","38,5","10,26"
N/A,CS3W-400P,400,"47,2","10,9","38,7","10,34"
N/A,CS3W-405P,405,"47,4","10,98","38,9","10,42"
N/A,CS3W-410P,410,"47,6","11,06","39,1","10,49"
N/A,CS3W-415P,415,"47,8","11,14","39,3","10,56"
N/A,CS3W-420P,420,48,"11,26","39,5","10,64"
N/A,CS3W-425MS,425,"47,7","11,37","39,5","10,76"
N/A,CS3W-425P,425,"48,2","11,29","39,7","10,71"
N/A,CS3W-430MB-AG 1500V,430,"48,3","11,37","40,3","10,68"
N/A,CS3W-435MB-AG,435,"48,5","11,42","40,5","10,75"
N/A,CS3W-435MB-AG 1000V,435,"48,5","11,42","40,5","10,75"
N/A,CS3W-435MB-AG 1500V,435,"48,5","11,42","40,5","10,75"
N/A,CS3W-435MB-AG 1500V,435,"48,5","11,42","40,5","10,75"
N/A,CS3W-435MB-AG_1500V,435,"48,5","11,42","40,5","10,75"
N/A,CS3W-435MS,435,"48,5","11,42","40,5","10,75"
N/A,CS3W-440MB-AG,440,"48,7","11,48","40,7","10,82"
N/A,CS3W-440MB-AG 1000V,440,"48,7","11,48","40,7","10,82"
N/A,CS3W-440MB-AG 1500V,440,"48,7","11,48","40,7","10,82"
N/A,CS3W-440MB-AG 1500V,440,"48,7","11,48","40,7","10,82"
N/A,CS3W-440MB-AG_1500V,440,"48,7","11,48","40,7","10,82"
N/A,CS3W-440MS,440,"48,7","11,48","40,7","10,82"
N/A,CS3W-440MS,440,"48,3","11,53","40,1","10,98"
N/A,CS3W-440MS 1000V,440,"48,7","11,48","40,7","10,82"
N/A,CS3W-440MS 1500V,440,"48,7","11,48","40,7","10,82"
N/A,CS3W-440MS_1500V,440,"48,7","11,48","40,7","10,82"
N/A,CS3W-445MB-AG,445,"48,9","11,54","40,9","10,89"
N/A,CS3W-445MB-AG 1000V,445,"48,9","11,54","40,9","10,89"
N/A,CS3W-445MB-AG 1500V,445,"48,9","11,54","40,9","10,89"
N/A,CS3W-445MB-AG 1500V,445,"48,9","11,54","40,9","10,89"
N/A,CS3W-445MB-AG_1500V,445,"48,9","11,54","40,9","10,89"
N/A,CS3W-445MS,445,"48,9","11,54","40,9","10,89"
N/A,CS3W-445MS,445,"48,9","11,54","40,9","10,89"
N/A,CS3W-445MS 1000V,445,"48,9","11,54","40,9","10,89"
N/A,CS3W-445MS 1500V,445,"48,9","11,54","40,9","10,89"
N/A,CS3W-445MS_1500V,445,"48,9","11,54","40,9","10,89"
N/A,CS3W-445MS_1500V,445,"48,9","11,54","40,9","10,89"
N/A,CS3W-450MB-AG,450,"49,1","11,6","41,1","10,96"
N/A,CS3W-450MB-AG 1000V,450,"49,1","11,6","41,1","10,96"
N/A,CS3W-450MB-AG 1500V,450,"49,1","11,6","41,1","10,96"
N/A,CS3W-450MB-AG 1500V,450,"49,1","11,6","41,1","10,96"
N/A,CS3W-450MB-AG_1500V,450,"49,1","11,6","41,1","10,96"
N/A,CS3W-450MS,450,"49,1","11,6","41,1","10,96"
N/A,CS3W-450MS 1000V,450,"49,1","11,6","41,1","10,96"
N/A,CS3W-450MS 1500V,450,"49,1","11,6","41,1","10,96"
N/A,CS3W-450MS_1500V,450,"49,1","11,6","41,1","10,96"
N/A,CS3W-450MS_1500V,450,"49,1","11,6","41,1","10,96"
N/A,CS3W-455MB-AG,455,"49,3","11,66","41,3","11,02"
N/A,CS3W-455MB-AG 1000V,455,"49,3","11,66","41,3","11,02"
N/A,CS3W-455MB-AG 1500V,455,"49,3","11,66","41,3","11,02"
N/A,CS3W-455MB-AG_1500V,455,"49,3","11,66","41,3","11,02"
N/A,CS3W-455MS,455,"49,3","11,66","41,3","11,02"
N/A,CS3W-455MS,455,"49,3","11,66","41,3","11,02"
N/A,CS3W-455MS 1000V,455,"49,3","11,66","41,3","11,02"
N/A,CS3W-455MS 1500V,455,"49,3","11,66","41,3","11,02"
N/A,CS3W-455MS 1500V,455,"49,3","11,66","41,3","11,02"
N/A,CS3W-455MS_1500V,455,"49,3","11,66","41,3","11,02"
N/A,CS3W-460MB-AG,460,"49,5","11,72","41,5","11,09"
N/A,CS3W-460MB-AG 1000V,460,"49,5","11,72","41,5","11,09"
N/A,CS3W-460MB-AG 1500V,460,"49,5","11,72","41,5","11,09"
N/A,CS3W-460MB-AG_1500V,460,"49,5","11,72","41,5","11,09"
N/A,CS3W-460MS,460,"49,5","11,72","41,5","11,09"
N/A,CS3W-460MS,460,"49,5","11,72","41,5","11,09"
N/A,CS3W-460MS 1000V,460,"49,5","11,72","41,5","11,09"
N/A,CS3W-460MS 1500V,460,"49,5","11,72","41,5","11,09"
N/A,CS3W-460MS_1500V,460,"49,5","11,72","41,5","11,09"
N/A,CS3W-460MS_1500V,460,"49,5","11,72","41,5","11,09"
N/A,CS3W-465MS,465,"49,7","11,78","41,7","11,16"
N/A,CS3W-465MS 1000V,465,"49,7","11,78","41,7","11,16"
N/A,CS3W-465MS 1500V,465,"49,7","11,78","41,7","11,16"
N/A,CS3W-465MS_1500V,465,"49,7","11,78","41,7","11,16"
N/A,CS3Y-430PB-AG,430,"50,8","11,08","41,6","10,34"
N/A,CS3Y-430PB-AG_1500V,430,"50,8","11,08","41,6","10,34"
N/A,CS3Y-435P,435,51,"11,13","41,8","10,41"
N/A,CS3Y-435P_1500V,435,51,"11,13","41,8","10,41"
N/A,CS3Y-435PB-AG,435,51,"11,13","41,8","10,41"
N/A,CS3Y-435PB-AG_1500V,435,51,"11,13","41,8","10,41"
N/A,CS3Y-440P,440,"51,2","11,18",42,"10,48"
N/A,CS3Y-440P_1500V,440,"51,2","11,18",42,"10,48"
N/A,CS3Y-440PB-AG,440,"51,2","11,18",42,"10,48"
N/A,CS3Y-440PB-AG_1500V,440,"51,2","11,18",42,"10,48"
N/A,CS3Y-445P,445,"51,4","11,23","42,2","10,55"
N/A,CS3Y-445P_1500V,445,"51,4","11,23","42,2","10,55"
N/A,CS3Y-445PB-AG,445,"51,4","11,23","42,2","10,55"
N/A,CS3Y-445PB-AG_1500V,445,"51,4","11,23","42,2","10,55"
N/A,CS3Y-450P,450,"51,6","11,28","42,4","10,62"
N/A,CS3Y-450P_1500V,450,"51,6","11,28","42,4","10,62"
N/A,CS3Y-450PB-AG,450,"51,6","11,28","42,4","10,62"
N/A,CS3Y-450PB-AG_1500V,450,"51,6","11,28","42,4","10,62"
N/A,CS3Y-455P,455,"51,8","11,33","42,6","10,69"
N/A,CS3Y-455P_1500V,455,"51,8","11,33","42,6","10,69"
N/A,CS3Y-455PB-AG,455,"51,8","11,33","42,6","10,69"
N/A,CS3Y-455PB-AG_1500V,455,"51,8","11,33","42,6","10,69"
N/A,CS3Y-460P,460,52,"11,38","42,8","10,75"
N/A,CS3Y-460P_1500V,460,52,"11,38","42,8","10,75"
N/A,CS3Y-470MB-AG,470,"52,5","11,47","43,8","10,74"
N/A,CS3Y-470MB-AG 1000V,470,"52,5","11,47","43,8","10,74"
N/A,CS3Y-470MB-AG 1500V,470,"52,5","11,47","43,8","10,74"
N/A,CS3Y-470MB-AG_1500V,470,"52,5","11,47","43,8","10,74"
N/A,CS3Y-475MB-AG,475,"52,7","11,52",44,"10,81"
N/A,CS3Y-475MB-AG 1000V,475,"52,7","11,52",44,"10,81"
N/A,CS3Y-475MB-AG 1500V,475,"52,7","11,52",44,"10,81"
N/A,CS3Y-475MB-AG_1500V,475,"52,7","11,52",44,"10,81"
N/A,CS3Y-475MS,475,"52,7","11,52",44,"10,81"
N/A,CS3Y-475MS_1500V,475,"52,7","11,52",44,"10,81"
N/A,CS3Y-480MB-AG,480,"52,9","11,57","44,2","10,87"
N/A,CS3Y-480MB-AG 1000V,480,"52,9","11,57","44,2","10,87"
N/A,CS3Y-480MB-AG 1500V,480,"52,9","11,57","44,2","10,87"
N/A,CS3Y-480MB-AG_1500V,480,"52,9","11,57","44,2","10,87"
N/A,CS3Y-480MS,480,"52,9","11,57","44,2","10,87"
N/A,CS3Y-480MS_1500V,480,"52,9","11,57","44,2","10,87"
N/A,CS3Y-485MB-AG,485,"53,1","11,62","44,4","10,94"
N/A,CS3Y-485MB-AG 1000V,485,"53,1","11,62","44,4","10,94"
N/A,CS3Y-485MB-AG 1500V,485,"53,1","11,62","44,4","10,94"
N/A,CS3Y-485MB-AG_1500V,485,"53,1","11,62","44,4","10,94"
N/A,CS3Y-485MS,485,"53,1","11,62","44,4","10,94"
N/A,CS3Y-485MS_1500V,485,"53,1","11,62","44,4","10,94"
N/A,CS3Y-490MB-AG,490,"53,3","11,67","44,6",11
N/A,CS3Y-490MB-AG 1000V,490,"53,3","11,67","44,6",11
N/A,CS3Y-490MB-AG 1500V,490,"53,3","11,67","44,6",11
N/A,CS3Y-490MS,490,"53,3","11,67","44,6",11
N/A,CS3Y-490MS_1500V,490,"53,3","11,67","44,6",11
N/A,CS3Y-495MB-AG,495,"53,5","11,72","44,8","11,06"
N/A,CS3Y-495MB-AG 1000V,495,"53,5","11,72","44,8","11,06"
N/A,CS3Y-495MB-AG 1500V,495,"53,5","11,72","44,8","11,06"
N/A,CS3Y-495MB-AG_1500V,495,"53,5","11,72","44,8","11,06"
N/A,CS3Y-495MS,495,"53,5","11,72","44,8","11,06"
N/A,CS3Y-495MS_1500V,495,"53,5","11,72","44,8","11,06"
N/A,CS3Y-500MS,500,"53,7","11,77",45,"11,12"
N/A,CS3Y-500MS_1500V,500,"53,7","11,77",45,"11,12"
N/A,CS5A-160M,160,"43,8","4,91","35,1","4,55"
N/A,CS5A-160P,160,"43,4","4,99","34,8","4,6"
N/A,CS5A-165M,165,"44,1","5,01","35,3","4,68"
N/A,CS5A-165P,165,"43,7","5,09","34,9","4,73"
N/A,CS5A-170M,170,"44,3","5,12","35,6","4,78"
N/A,CS5A-170P,170,"43,9","5,2","35,2","4,83"
N/A,CS5A-175M,175,"44,4","5,23","35,8","4,89"
N/A,CS5A-175P,175,"44,1","5,31","35,4","4,94"
N/A,CS5A-180M,180,"44,6","5,34","36,1","4,99"
N/A,CS5A-180P,180,"44,2","5,41","35,7","5,04"
N/A,CS5A-185M,185,"44,6","5,46","36,4","5,09"
N/A,CS5A-185P,185,"44,3","5,54",36,"5,14"
N/A,CS5A-190M,190,"44,8","5,52","36,6","5,19"
N/A,CS5A-190P,190,"44,4","5,61","36,2","5,25"
N/A,CS5A-195M,195,45,"5,62",37,"5,27"
N/A,CS5A-200M,200,"45,3","5,71","37,4","5,35"
N/A,CS5A-205M,205,"45,4","5,81","37,7","5,43"
N/A,CS5A-210M,210,"45,4","5,81","37,7","5,43"
N/A,CS5C-75M,75,"21,7","4,69","17,5","4,29"
N/A,CS5C-80M,80,"21,9","4,91","17,6","4,55"
N/A,CS5C-80P,80,"21,7","4,99","17,4","4,6"
N/A,CS5C-85M,85,"22,1","5,12","17,8","4,78"
N/A,CS5C-85P,85,22,"5,2","17,6","4,83"
N/A,CS5C-90M,90,"22,3","5,34",18,"4,99"
N/A,CS5C-90P,90,"22,1","5,41","17,9","5,04"
N/A,CS5C-95M,95,"22,4","5,52","18,3","5,19"
N/A,CS5C-95P,95,"22,2","5,61","18,1","5,25"
N/A,CS5P-210M,210,"58,2","4,86","46,8","4,49"
N/A,CS5P-210P,210,"57,7","4,93","46,3","4,53"
N/A,CS5P-215M,215,"58,4","4,95","46,8","4,59"
N/A,CS5P-215P,215,"57,9","4,99","46,4","4,64"
N/A,CS5P-220M,220,"58,8","5,01",47,"4,68"
N/A,CS5P-220P,220,"58,3","5,05","46,6","4,73"
N/A,CS5P-225M,225,59,"5,09","47,4","4,74"
N/A,CS5P-225P,225,"58,6","5,13","46,9","4,79"
N/A,CS5P-230M,230,"59,1","5,18","47,5","4,84"
N/A,CS5P-230P,230,"58,7","5,22",47,"4,89"
N/A,CS5P-235M,235,"59,2","5,27","47,7","4,93"
N/A,CS5P-235P,235,"58,8","5,31","47,2","4,98"
N/A,CS5P-240M,240,"59,4","5,34","48,1","4,99"
N/A,CS5P-240P,240,"58,9","5,38","47,6","5,04"
N/A,CS5P-245M,245,"59,5","5,43","48,4","5,06"
N/A,CS5P-245P,245,59,"5,47","47,9","5,11"
N/A,CS5P-250M,250,"59,6","5,49","48,7","5,14"
N/A,CS5P-250P,250,"59,1","5,53","48,2","5,19"
N/A,CS5P-255M,255,"59,8","5,55",49,"5,21"
N/A,CS5P-260M,260,60,"5,62","49,3","5,27"
N/A,CS6.1-54TB-430 1000V,430,"38,1","14,25","32,2","13,38"
N/A,CS6.1-54TB-430 1500V,430,"38,1","14,25","32,2","13,38"
N/A,CS6.1-54TB-435 1000V,435,"38,3","14,33","32,4","13,45"
N/A,CS6.1-54TB-435 1500V,435,"38,3","14,33","32,4","13,45"
N/A,CS6.1-54TB-440 1000V,440,"38,5","14,41","32,6","13,52"
N/A,CS6.1-54TB-440 1500V,440,"38,5","14,41","32,6","13,52"
N/A,CS6.1-54TB-445 1000V,445,"38,7","14,48","32,81","13,59"
N/A,CS6.1-54TB-445 1500V,445,"38,7","14,48","32,81","13,59"
N/A,CS6.1-54TB-450 1000V,450,"38,9","14,55",33,"13,66"
N/A,CS6.1-54TB-450 1500V,450,"38,9","14,55",33,"13,66"
N/A,CS6.1-54TB-455 1000V,455,"39,1","14,61","33,2","13,72"
N/A,CS6.1-54TB-455 1500V,455,"39,1","14,61","33,2","13,72"
N/A,CS6.1-54TB-460 1000V,460,"39,3","14,69","33,4","13,78"
N/A,CS6.1-54TB-460 1500V,460,"39,3","14,69","33,4","13,78"
N/A,CS6.1-54TB-465 1000V,465,"39,5","14,77","33,6","13,85"
N/A,CS6.1-54TB-465 1500V,465,"39,5","14,77","33,6","13,85"
N/A,CS6.1-54TB-470 1000V,470,"39,7","14,86","33,8","13,91"
N/A,CS6.1-54TB-470 1500V,470,"39,7","14,86","33,8","13,91"
N/A,CS6.1-54TD-445 1000V,445,"38,7","14,48","32,81","13,59"
N/A,CS6.1-54TD-445 1500V,445,"38,7","14,48","32,81","13,59"
N/A,CS6.1-54TD-450 1000V,450,"38,9","14,55",33,"13,66"
N/A,CS6.1-54TD-450 1500V,450,"38,9","14,55",33,"13,66"
N/A,CS6.1-54TD-455 1000V,455,"39,1","14,61","33,2","13,72"
N/A,CS6.1-54TD-455 1500V,455,"39,1","14,61","33,2","13,72"
N/A,CS6.1-54TD-460 1000V,460,"39,3","14,69","33,4","13,78"
N/A,CS6.1-54TD-460 1500V,460,"39,3","14,69","33,4","13,78"
N/A,CS6.1-54TD-465 1000V,465,"39,5","14,77","33,6","13,85"
N/A,CS6.1-54TD-465 1500V,465,"39,5","14,77","33,6","13,85"
N/A,CS6.1-54TD-470 1000V,470,"39,7","14,86","33,8","13,91"
N/A,CS6.1-54TD-470 1500V,470,"39,7","14,86","33,8","13,91"
N/A,CS6.1-54TM-445H 1000V,445,"38,7","14,48","32,81","13,59"
N/A,CS6.1-54TM-445H 1500V,445,"38,7","14,48","32,81","13,59"
N/A,CS6.1-54TM-450H 1000V,450,"38,9","14,55",33,"13,66"
N/A,CS6.1-54TM-450H 1500V,450,"38,9","14,55",33,"13,66"
N/A,CS6.1-54TM-455H 1000V,455,"39,1","14,61","33,2","13,72"
N/A,CS6.1-54TM-455H 1500V,455,"39,1","14,61","33,2","13,72"
N/A,CS6.1-54TM-460H 1000V,460,"39,3","14,69","33,4","13,78"
N/A,CS6.1-54TM-460H 1500V,460,"39,3","14,69","33,4","13,78"
N/A,CS6.1-54TM-465H 1000V,465,"39,5","14,77","33,6","13,85"
N/A,CS6.1-54TM-465H 1500V,465,"39,5","14,77","33,6","13,85"
N/A,CS6.1-54TM-470H 1000V,470,"39,7","14,86","33,8","13,91"
N/A,CS6.1-54TM-470H 1500V,470,"39,7","14,86","33,8","13,91"
N/A,CS6.1-60TB-490 1000V,490,"42,8","14,37","36,22","13,55"
N/A,CS6.1-60TB-490 1500V,490,"42,8","14,37","36,22","13,55"
N/A,CS6.1-60TB-495 1000V,495,43,"14,44","36,42","13,61"
N/A,CS6.1-60TB-495 1500V,495,43,"14,44","36,42","13,61"
N/A,CS6.1-60TB-500 1000V,500,"43,2","14,51","36,64","13,67"
N/A,CS6.1-60TB-500 1500V,500,"43,2","14,51","36,64","13,67"
N/A,CS6.1-60TB-505 1000V,505,"43,4","14,58","36,83","13,73"
N/A,CS6.1-60TB-505 1500V,505,"43,4","14,58","36,83","13,73"
N/A,CS6.1-60TB-510 1000V,510,"43,6","14,65","37,03","13,79"
N/A,CS6.1-60TB-510 1500V,510,"43,6","14,65","37,03","13,79"
N/A,CS6.1-60TB-515 1000V,515,"43,8","14,72","37,23","13,85"
N/A,CS6.1-60TB-515 1500V,515,"43,8","14,72","37,23","13,85"
N/A,CS6.1-60TM-490H 1000V,490,"42,8","14,37","36,22","13,55"
N/A,CS6.1-60TM-490H 1500V,490,"42,8","14,37","36,22","13,55"
N/A,CS6.1-60TM-495H 1000V,495,43,"14,44","36,42","13,61"
N/A,CS6.1-60TM-495H 1500V,495,43,"14,44","36,42","13,61"
N/A,CS6.1-60TM-500H 1000V,500,"43,2","14,51","36,64","13,67"
N/A,CS6.1-60TM-500H 1500V,500,"43,2","14,51","36,64","13,67"
N/A,CS6.1-60TM-505H 1000V,505,"43,4","14,58","36,83","13,73"
N/A,CS6.1-60TM-505H 1500V,505,"43,4","14,58","36,83","13,73"
N/A,CS6.1-60TM-510H 1000V,510,"43,6","14,65","37,03","13,79"
N/A,CS6.1-60TM-510H 1500V,510,"43,6","14,65","37,03","13,79"
N/A,CS6.1-60TM-515H 1000V,515,"43,8","14,72","37,23","13,85"
N/A,CS6.1-60TM-515H 1500V,515,"43,8","14,72","37,23","13,85"
N/A,CS6.1-60TM-520H 1000V,520,44,"14,79","37,43","13,91"
N/A,CS6.1-60TM-520H 1500V,520,44,"14,79","37,43","13,91"
N/A,CS6.1-60TM-525H 1000V,525,"44,2","14,86","37,63","13,97"
N/A,CS6.1-60TM-525H 1500V,525,"44,2","14,86","37,63","13,97"
N/A,CS6.1-72TB-590 1500V,590,"51,4","14,42","43,6","13,54"
N/A,CS6.1-72TB-590H 1000V,590,"51,4","14,42","43,6","13,54"
N/A,CS6.1-72TB-590H 1500V,590,"51,4","14,42","43,6","13,54"
N/A,CS6.1-72TB-595 1500V,595,"51,6","14,48","43,8","13,59"
N/A,CS6.1-72TB-595H 1000V,595,"51,6","14,48","43,8","13,59"
N/A,CS6.1-72TB-595H 1500V,595,"51,6","14,48","43,8","13,59"
N/A,CS6.1-72TB-600 1500V,600,"51,8","14,54",44,"13,64"
N/A,CS6.1-72TB-600H 1000V,600,"51,8","14,54",44,"13,64"
N/A,CS6.1-72TB-600H 1500V,600,"51,8","14,54",44,"13,64"
N/A,CS6.1-72TB-605 1500V,605,52,"14,6","44,2","13,69"
N/A,CS6.1-72TB-605H 1000V,605,52,"14,6","44,2","13,69"
N/A,CS6.1-72TB-605H 1500V,605,52,"14,6","44,2","13,69"
N/A,CS6.1-72TB-610 1500V,610,"52,2","14,66","44,4","13,74"
N/A,CS6.1-72TB-610H 1000V,610,"52,2","14,66","44,4","13,74"
N/A,CS6.1-72TB-610H 1500V,610,"52,2","14,66","44,4","13,74"
N/A,CS6.1-72TB-615 1500V,615,"52,4","14,72","44,6","13,79"
N/A,CS6.1-72TB-615H 1000V,615,"52,4","14,72","44,6","13,79"
N/A,CS6.1-72TB-615H 1500V,615,"52,4","14,72","44,6","13,79"
N/A,CS6.1-72TB-620 1500V,620,"52,6","14,78","44,8","13,84"
N/A,CS6.1-72TB-620H 1000V,620,"52,6","14,78","44,8","13,84"
N/A,CS6.1-72TB-620H 1500V,620,"52,6","14,78","44,8","13,84"
N/A,CS6.1-72TD-595 1500V,595,"51,6","14,48","43,8","13,59"
N/A,CS6.1-72TD-600 1500V,600,"51,8","14,54",44,"13,64"
N/A,CS6.1-72TD-605 1500V,605,52,"14,6","44,2","13,69"
N/A,CS6.1-72TD-610 1500V,610,"52,2","14,66","44,4","13,74"
N/A,CS6.1-72TD-615 1500V,615,"52,4","14,72","44,6","13,79"
N/A,CS6.1-72TD-620 1500V,620,"52,6","14,78","44,8","13,84"
N/A,CS6.1-72TD-625 1500V,625,"52,8","14,84",45,"13,89"
N/A,CS6.2-32TM-290 1500V,290,"35,1","10,47","29,5","9,85"
